numero_pic,debut_s,fin_s,duree_s,rssi_moy_dbm,puissance_moy_w,energie_j
1,0.014528274536132812,7.034353733062744,7.019825458526611,-24.75,3.3496543915782793e-06,2.351398917526667e-05
2,8.752713680267334,10.47127366065979,1.718559980392456,-29.0,1.2589254117941661e-06,2.1635388310085466e-06
3,151.99045252799988,165.07024312019348,13.079790592193604,-15.666666666666666,2.7122725793320296e-05,0.0003547595736661176
4,195.54033017158508,200.5972602367401,5.056930065155029,-23.75,4.216965034285822e-06,2.1324897265587484e-05
5,201.86523747444153,203.76423978805542,1.8990023136138916,-29.0,1.2589254117941661e-06,2.3907022696644426e-06
6,204.39439415931702,205.03163933753967,0.6372451782226562,-29.0,1.2589254117941661e-06,8.022441484078043e-07
