temps_s,rssi_dbm,puissance_w
0.014528274536132812,-29,1.2589254117941661e-06
1.0034136772155762,-28,1.584893192461114e-06
1.558600902557373,-24,3.981071705534969e-06
2.1537046432495117,-23,5.011872336272725e-06
2.6831133365631104,-23,5.011872336272725e-06
3.2202064990997314,-23,5.011872336272725e-06
3.7706680297851562,-23,5.011872336272725e-06
4.334066867828369,-23,5.011872336272725e-06
4.857971429824829,-23,5.011872336272725e-06
5.396793365478516,-24,3.981071705534969e-06
5.933448076248169,-26,2.5118864315095823e-06
6.483011960983276,-28,1.584893192461114e-06
7.034353733062744,-30,1e-06
7.606942176818848,-30,1e-06
8.176496267318726,-30,1e-06
8.752713680267334,-29,1.2589254117941661e-06
9.319836139678955,-29,1.2589254117941661e-06
9.885932683944702,-29,1.2589254117941661e-06
10.47127366065979,-30,1e-06
11.052086591720581,-30,1e-06
11.628362894058228,-30,1e-06
12.22274398803711,-36,2.5118864315095823e-07
12.815539360046387,-41,7.943282347242822e-08
13.418702840805054,-38,1.584893192461114e-07
14.034181594848633,-37,1.9952623149688787e-07
14.6459219455719,-38,1.584893192461114e-07
15.34090805053711,-39,1.2589254117941662e-07
15.966790199279785,-38,1.584893192461114e-07
16.589153051376343,-43,5.011872336272725e-08
17.164227724075317,-44,3.981071705534969e-08
17.76180601119995,-41,7.943282347242822e-08
18.35010266304016,-39,1.2589254117941662e-07
18.942498683929443,-38,1.584893192461114e-07
19.53301239013672,-37,1.9952623149688787e-07
20.146170139312744,-37,1.9952623149688787e-07
20.751665115356445,-37,1.9952623149688787e-07
21.302114963531494,-37,1.9952623149688787e-07
21.851813077926636,-38,1.584893192461114e-07
22.401066780090332,-37,1.9952623149688787e-07
22.95315408706665,-38,1.584893192461114e-07
23.50913691520691,-38,1.584893192461114e-07
24.059858798980713,-37,1.9952623149688787e-07
24.62115216255188,-37,1.9952623149688787e-07
25.186081886291504,-37,1.9952623149688787e-07
25.747151613235474,-38,1.584893192461114e-07
26.309208631515503,-38,1.584893192461114e-07
26.881033420562744,-38,1.584893192461114e-07
27.443575859069824,-38,1.584893192461114e-07
28.008347749710083,-38,1.584893192461114e-07
28.569207429885864,-38,1.584893192461114e-07
29.133253574371338,-39,1.2589254117941662e-07
29.720216512680054,-41,7.943282347242822e-08
30.2962327003479,-42,6.30957344480193e-08
30.873773336410522,-41,7.943282347242822e-08
31.451534032821655,-40,1e-07
32.038753271102905,-38,1.584893192461114e-07
32.615575075149536,-38,1.584893192461114e-07
33.19645428657532,-38,1.584893192461114e-07
33.77461791038513,-38,1.584893192461114e-07
34.37192177772522,-38,1.584893192461114e-07
34.96551036834717,-41,7.943282347242822e-08
35.55620980262756,-40,1e-07
36.14895534515381,-39,1.2589254117941662e-07
36.74656867980957,-38,1.584893192461114e-07
37.336426973342896,-38,1.584893192461114e-07
37.92982769012451,-38,1.584893192461114e-07
38.520294189453125,-39,1.2589254117941662e-07
39.136301040649414,-40,1e-07
39.7396035194397,-40,1e-07
40.342573404312134,-41,7.943282347242822e-08
40.94845104217529,-41,7.943282347242822e-08
41.497485876083374,-41,7.943282347242822e-08
42.05711603164673,-38,1.584893192461114e-07
42.60714101791382,-36,2.5118864315095823e-07
43.16060185432434,-36,2.5118864315095823e-07
43.71101379394531,-37,1.9952623149688787e-07
44.261980056762695,-39,1.2589254117941662e-07
44.8147976398468,-40,1e-07
45.456199407577515,-42,6.30957344480193e-08
46.00888633728027,-42,6.30957344480193e-08
46.556655168533325,-41,7.943282347242822e-08
47.10907340049744,-40,1e-07
47.65842366218567,-39,1.2589254117941662e-07
48.22354316711426,-38,1.584893192461114e-07
48.79631161689758,-37,1.9952623149688787e-07
49.3588752746582,-37,1.9952623149688787e-07
49.92402625083923,-37,1.9952623149688787e-07
50.48635458946228,-37,1.9952623149688787e-07
51.056052923202515,-37,1.9952623149688787e-07
51.61860966682434,-38,1.584893192461114e-07
52.19369387626648,-38,1.584893192461114e-07
52.75662040710449,-37,1.9952623149688787e-07
53.32008218765259,-37,1.9952623149688787e-07
53.88542890548706,-37,1.9952623149688787e-07
54.44781756401062,-37,1.9952623149688787e-07
55.014848470687866,-41,7.943282347242822e-08
55.586479902267456,-41,7.943282347242822e-08
56.15325045585632,-41,7.943282347242822e-08
56.7167866230011,-40,1e-07
57.28736901283264,-40,1e-07
57.866183042526245,-40,1e-07
58.45213222503662,-39,1.2589254117941662e-07
59.032453536987305,-39,1.2589254117941662e-07
59.60867118835449,-39,1.2589254117941662e-07
60.188477993011475,-40,1e-07
60.773306369781494,-41,7.943282347242822e-08
61.35042333602905,-41,7.943282347242822e-08
61.93050527572632,-41,7.943282347242822e-08
62.50871562957764,-39,1.2589254117941662e-07
63.100130796432495,-38,1.584893192461114e-07
63.67678904533386,-38,1.584893192461114e-07
64.25623083114624,-39,1.2589254117941662e-07
64.8344578742981,-39,1.2589254117941662e-07
65.42181015014648,-37,1.9952623149688787e-07
66.00175714492798,-36,2.5118864315095823e-07
66.57854700088501,-35,3.162277660168379e-07
67.16001796722412,-36,2.5118864315095823e-07
67.75930166244507,-39,1.2589254117941662e-07
68.3502950668335,-42,6.30957344480193e-08
