temps_s,rssi_dbm
0.010277271270751953,-31
0.594231367111206,-31
1.0611605644226074,-31
1.551309585571289,-31
2.057523012161255,-33
2.404301643371582,-33
2.7512500286102295,-33
3.1033966541290283,-32
3.4584414958953857,-32
3.8234362602233887,-32
4.187756538391113,-31
4.537391185760498,-33
4.879561901092529,-31
5.226135969161987,-31
5.57346773147583,-27
5.9616453647613525,-26
6.390838384628296,-26
6.787130355834961,-31
7.187937021255493,-32
7.590581655502319,-32
8.00092339515686,-28
8.421977281570435,-27
8.806508302688599,-26
9.1939857006073,-26
9.576860427856445,-26
9.968422889709473,-26
10.361033916473389,-28
10.7505042552948,-28
11.145091533660889,-29
11.546447277069092,-30
11.94228219985962,-29
12.345364093780518,-27
12.749711513519287,-26
13.145702362060547,-26
13.543517351150513,-26
13.94717788696289,-26
14.354373931884766,-26
14.755438804626465,-28
15.160829305648804,-28
15.564659357070923,-27
15.979015827178955,-28
16.389430046081543,-30
16.796677112579346,-29
17.20002293586731,-29
17.608360052108765,-30
18.014378547668457,-32
18.419867277145386,-31
18.82784938812256,-32
19.23107361793518,-30
19.6468608379364,-27
20.06111168861389,-27
20.481034755706787,-28
20.861939191818237,-29
21.24684453010559,-30
21.65674662590027,-29
22.041954517364502,-30
22.423994302749634,-27
22.811790704727173,-25
23.202442169189453,-26
23.59434747695923,-26
23.990352392196655,-26
24.3934326171875,-27
24.801398515701294,-28
25.210105895996094,-29
25.681715726852417,-31
26.080237865447998,-32
26.480677366256714,-31
26.883633375167847,-29
27.28365135192871,-28
27.686152935028076,-27
28.09363865852356,-27
28.504528284072876,-26
28.940529346466064,-25
29.368223905563354,-25
29.781018257141113,-26
30.199607849121094,-26
30.63249683380127,-26
31.038478136062622,-26
31.441344738006592,-26
31.846365690231323,-26
32.250025272369385,-26
32.65654969215393,-28
33.0711886882782,-30
33.474698543548584,-32
33.901859998703,-33
34.33169651031494,-32
34.75888967514038,-32
35.18587803840637,-32
35.636642932891846,-32
36.063400745391846,-32
36.486332178115845,-33
36.916568994522095,-33
37.335870027542114,-33
37.76483631134033,-32
38.19261693954468,-32
38.62657022476196,-31
39.06148386001587,-31
39.501802921295166,-32
40.1930205821991,-34
40.72098445892334,-34
41.12020301818848,-34
41.49036169052124,-33
41.86046028137207,-31
42.22394061088562,-31
43.39640212059021,-26
44.00643181800842,-26
44.49138593673706,-26
44.85753655433655,-27
45.256338119506836,-27
45.62539219856262,-26
46.21263003349304,-26
46.712939977645874,-26
47.084845304489136,-25
47.45763897895813,-25
47.83399677276611,-30
48.210817098617554,-29
48.59053683280945,-29
48.970776319503784,-25
49.34612727165222,-25
49.729734659194946,-25
50.119383335113525,-25
50.49688005447388,-26
50.93512558937073,-28
51.325692892074585,-29
51.712178230285645,-30
52.10635256767273,-31
52.48714590072632,-30
52.86448121070862,-31
53.24238300323486,-32
