numero_pic,debut_s,fin_s,duree_s,rssi_moy_dbm,puissance_moy_w,energie_j
1,0.007662057876586914,5.8073601722717285,5.799698114395142,-21.9,6.4565422903465625e-06,3.744599614683545e-05
2,6.352840423583984,6.941443204879761,0.5886027812957764,-29.0,1.2589254117941661e-06,7.410069988259767e-07
3,8.158177137374878,15.9724280834198,7.814250946044922,-25.153846153846153,3.052216843234688e-06,2.3850788354780905e-05
4,19.03841257095337,21.475729942321777,2.437317371368408,-28.0,1.584893192461114e-06,3.862887709749008e-06
5,24.314430952072144,30.79861831665039,6.484187364578247,-27.818181818181817,1.6526535398566912e-06,1.071611520116427e-05
6,32.579150438308716,33.18028378486633,0.6011333465576172,-29.0,1.2589254117941661e-06,7.567820458582534e-07
7,33.775453329086304,66.59819173812866,32.82273840904236,-22.78181818181818,5.270091818709966e-06,0.00017297884515715152
8,70.20568323135376,72.66284942626953,2.4571661949157715,-27.75,1.678804018122559e-06,4.125100481219516e-06
9,78.05659341812134,80.49334573745728,2.4367523193359375,-29.0,1.2589254117941661e-06,3.0676894170603845e-06
